sample	f_fq1	f_fq2	s_fq1	s_fq2
NTM00236	NTM00236_S24_R1_001.fastq.gz	NTM00236_S24_R2_001.fastq.gz	NTM00236_S7_R1_001.fastq.gz	NTM00236_S7_R2_001.fastq.gz
NTM00261	NTM00261_S82_R1_001.fastq.gz	NTM00261_S82_R2_001.fastq.gz	NTM00261_S65_R1_001.fastq.gz	NTM00261_S65_R2_001.fastq.gz
NTM00262	NTM00262_S51_R1_001.fastq.gz	NTM00262_S51_R2_001.fastq.gz	NTM00262_S34_R1_001.fastq.gz	NTM00262_S34_R2_001.fastq.gz
NTM00265	NTM00265_S40_R1_001.fastq.gz	NTM00265_S40_R2_001.fastq.gz	NTM00265_S23_R1_001.fastq.gz	NTM00265_S23_R2_001.fastq.gz
NTM00269	NTM00269_S32_R1_001.fastq.gz	NTM00269_S32_R2_001.fastq.gz	NTM00269_S15_R1_001.fastq.gz	NTM00269_S15_R2_001.fastq.gz
NTM00281	NTM00281_S69_R1_001.fastq.gz	NTM00281_S69_R2_001.fastq.gz	NTM00281_S52_R1_001.fastq.gz	NTM00281_S52_R2_001.fastq.gz
NTM00317	NTM00317_S50_R1_001.fastq.gz	NTM00317_S50_R2_001.fastq.gz	NTM00317_S33_R1_001.fastq.gz	NTM00317_S33_R2_001.fastq.gz
NTM00321	NTM00321_S87_R1_001.fastq.gz	NTM00321_S87_R2_001.fastq.gz	NTM00321_S70_R1_001.fastq.gz	NTM00321_S70_R2_001.fastq.gz
NTM00340	NTM00340_S31_R1_001.fastq.gz	NTM00340_S31_R2_001.fastq.gz	NTM00340_S14_R1_001.fastq.gz	NTM00340_S14_R2_001.fastq.gz
NTM00344	NTM00344_S48_R1_001.fastq.gz	NTM00344_S48_R2_001.fastq.gz	NTM00344_S31_R1_001.fastq.gz	NTM00344_S31_R2_001.fastq.gz
NTM00357	NTM00357_S80_R1_001.fastq.gz	NTM00357_S80_R2_001.fastq.gz	NTM00357_S63_R1_001.fastq.gz	NTM00357_S63_R2_001.fastq.gz
NTM00373	NTM00373_S85_R1_001.fastq.gz	NTM00373_S85_R2_001.fastq.gz	NTM00373_S68_R1_001.fastq.gz	NTM00373_S68_R2_001.fastq.gz
NTM00383	NTM00383_S76_R1_001.fastq.gz	NTM00383_S76_R2_001.fastq.gz	NTM00383_S59_R1_001.fastq.gz	NTM00383_S59_R2_001.fastq.gz
NTM00388	NTM00388_S37_R1_001.fastq.gz	NTM00388_S37_R2_001.fastq.gz	NTM00388_S20_R1_001.fastq.gz	NTM00388_S20_R2_001.fastq.gz
NTM00395	NTM00395_S20_R1_001.fastq.gz	NTM00395_S20_R2_001.fastq.gz	NTM00395_S3_R1_001.fastq.gz	NTM00395_S3_R2_001.fastq.gz
NTM00398	NTM00398_S49_R1_001.fastq.gz	NTM00398_S49_R2_001.fastq.gz	NTM00398_S32_R1_001.fastq.gz	NTM00398_S32_R2_001.fastq.gz
NTM00410	NTM00410_S21_R1_001.fastq.gz	NTM00410_S21_R2_001.fastq.gz	NTM00410_S4_R1_001.fastq.gz	NTM00410_S4_R2_001.fastq.gz
NTM00433	NTM00433_S71_R1_001.fastq.gz	NTM00433_S71_R2_001.fastq.gz	NTM00433_S54_R1_001.fastq.gz	NTM00433_S54_R2_001.fastq.gz
NTM00436	NTM00436_S33_R1_001.fastq.gz	NTM00436_S33_R2_001.fastq.gz	NTM00436_S16_R1_001.fastq.gz	NTM00436_S16_R2_001.fastq.gz
NTM00442	NTM00442_S75_R1_001.fastq.gz	NTM00442_S75_R2_001.fastq.gz	NTM00442_S58_R1_001.fastq.gz	NTM00442_S58_R2_001.fastq.gz
NTM00446	NTM00446_S30_R1_001.fastq.gz	NTM00446_S30_R2_001.fastq.gz	NTM00446_S13_R1_001.fastq.gz	NTM00446_S13_R2_001.fastq.gz
NTM00470	NTM00470_S39_R1_001.fastq.gz	NTM00470_S39_R2_001.fastq.gz	NTM00470_S22_R1_001.fastq.gz	NTM00470_S22_R2_001.fastq.gz
NTM00473	NTM00473_S38_R1_001.fastq.gz	NTM00473_S38_R2_001.fastq.gz	NTM00473_S21_R1_001.fastq.gz	NTM00473_S21_R2_001.fastq.gz
NTM00489	NTM00489_S66_R1_001.fastq.gz	NTM00489_S66_R2_001.fastq.gz	NTM00489_S49_R1_001.fastq.gz	NTM00489_S49_R2_001.fastq.gz
NTM00499	NTM00499_S35_R1_001.fastq.gz	NTM00499_S35_R2_001.fastq.gz	NTM00499_S18_R1_001.fastq.gz	NTM00499_S18_R2_001.fastq.gz
NTM00502	NTM00502_S52_R1_001.fastq.gz	NTM00502_S52_R2_001.fastq.gz	NTM00502_S35_R1_001.fastq.gz	NTM00502_S35_R2_001.fastq.gz
NTM00532	NTM00532_S53_R1_001.fastq.gz	NTM00532_S53_R2_001.fastq.gz	NTM00532_S36_R1_001.fastq.gz	NTM00532_S36_R2_001.fastq.gz
NTM00537	NTM00537_S65_R1_001.fastq.gz	NTM00537_S65_R2_001.fastq.gz	NTM00537_S48_R1_001.fastq.gz	NTM00537_S48_R2_001.fastq.gz
NTM00573	NTM00573_S95_R1_001.fastq.gz	NTM00573_S95_R2_001.fastq.gz	NTM00573_S78_R1_001.fastq.gz	NTM00573_S78_R2_001.fastq.gz
NTM00576	NTM00576_S72_R1_001.fastq.gz	NTM00576_S72_R2_001.fastq.gz	NTM00576_S55_R1_001.fastq.gz	NTM00576_S55_R2_001.fastq.gz
NTM00609	NTM00609_S67_R1_001.fastq.gz	NTM00609_S67_R2_001.fastq.gz	NTM00609_S50_R1_001.fastq.gz	NTM00609_S50_R2_001.fastq.gz
NTM00615	NTM00615_S103_R1_001.fastq.gz	NTM00615_S103_R2_001.fastq.gz	NTM00615_S86_R1_001.fastq.gz	NTM00615_S86_R2_001.fastq.gz
NTM00635	NTM00635_S57_R1_001.fastq.gz	NTM00635_S57_R2_001.fastq.gz	NTM00635_S40_R1_001.fastq.gz	NTM00635_S40_R2_001.fastq.gz
NTM00640	NTM00640_S56_R1_001.fastq.gz	NTM00640_S56_R2_001.fastq.gz	NTM00640_S39_R1_001.fastq.gz	NTM00640_S39_R2_001.fastq.gz
NTM00641	NTM00641_S68_R1_001.fastq.gz	NTM00641_S68_R2_001.fastq.gz	NTM00641_S51_R1_001.fastq.gz	NTM00641_S51_R2_001.fastq.gz
NTM00644	NTM00644_S58_R1_001.fastq.gz	NTM00644_S58_R2_001.fastq.gz	NTM00644_S41_R1_001.fastq.gz	NTM00644_S41_R2_001.fastq.gz
NTM00978	NTM00978_S86_R1_001.fastq.gz	NTM00978_S86_R2_001.fastq.gz	NTM00978_S69_R1_001.fastq.gz	NTM00978_S69_R2_001.fastq.gz
NTM00995	NTM00995_S104_R1_001.fastq.gz	NTM00995_S104_R2_001.fastq.gz	NTM00995_S87_R1_001.fastq.gz	NTM00995_S87_R2_001.fastq.gz
NTM01028	NTM01028_S60_R1_001.fastq.gz	NTM01028_S60_R2_001.fastq.gz	NTM01028_S43_R1_001.fastq.gz	NTM01028_S43_R2_001.fastq.gz
NTM01029	NTM01029_S94_R1_001.fastq.gz	NTM01029_S94_R2_001.fastq.gz	NTM01029_S77_R1_001.fastq.gz	NTM01029_S77_R2_001.fastq.gz
NTM01032	NTM01032_S102_R1_001.fastq.gz	NTM01032_S102_R2_001.fastq.gz	NTM01032_S85_R1_001.fastq.gz	NTM01032_S85_R2_001.fastq.gz
NTM01067	NTM01067_S99_R1_001.fastq.gz	NTM01067_S99_R2_001.fastq.gz	NTM01067_S82_R1_001.fastq.gz	NTM01067_S82_R2_001.fastq.gz
NTM01080	NTM01080_S43_R1_001.fastq.gz	NTM01080_S43_R2_001.fastq.gz	NTM01080_S26_R1_001.fastq.gz	NTM01080_S26_R2_001.fastq.gz
NTM01102	NTM01102_S101_R1_001.fastq.gz	NTM01102_S101_R2_001.fastq.gz	NTM01102_S84_R1_001.fastq.gz	NTM01102_S84_R2_001.fastq.gz
NTM01103	NTM01103_S96_R1_001.fastq.gz	NTM01103_S96_R2_001.fastq.gz	NTM01103_S79_R1_001.fastq.gz	NTM01103_S79_R2_001.fastq.gz
NTM01108	NTM01108_S100_R1_001.fastq.gz	NTM01108_S100_R2_001.fastq.gz	NTM01108_S83_R1_001.fastq.gz	NTM01108_S83_R2_001.fastq.gz
NTM01125	NTM01125_S61_R1_001.fastq.gz	NTM01125_S61_R2_001.fastq.gz	NTM01125_S44_R1_001.fastq.gz	NTM01125_S44_R2_001.fastq.gz
NTM01126	NTM01126_S106_R1_001.fastq.gz	NTM01126_S106_R2_001.fastq.gz	NTM01126_S89_R1_001.fastq.gz	NTM01126_S89_R2_001.fastq.gz
NTM01145	NTM01145_S46_R1_001.fastq.gz	NTM01145_S46_R2_001.fastq.gz	NTM01145_S29_R1_001.fastq.gz	NTM01145_S29_R2_001.fastq.gz
NTM01163	NTM01163_S47_R1_001.fastq.gz	NTM01163_S47_R2_001.fastq.gz	NTM01163_S30_R1_001.fastq.gz	NTM01163_S30_R2_001.fastq.gz
NTM01188	NTM01188_S88_R1_001.fastq.gz	NTM01188_S88_R2_001.fastq.gz	NTM01188_S71_R1_001.fastq.gz	NTM01188_S71_R2_001.fastq.gz
NTM01198	NTM01198_S92_R1_001.fastq.gz	NTM01198_S92_R2_001.fastq.gz	NTM01198_S75_R1_001.fastq.gz	NTM01198_S75_R2_001.fastq.gz
NTM01227	NTM01227_S110_R1_001.fastq.gz	NTM01227_S110_R2_001.fastq.gz	NTM01227_S93_R1_001.fastq.gz	NTM01227_S93_R2_001.fastq.gz
NTM01261	NTM01261_S97_R1_001.fastq.gz	NTM01261_S97_R2_001.fastq.gz	NTM01261_S80_R1_001.fastq.gz	NTM01261_S80_R2_001.fastq.gz
NTM01286	NTM01286_S108_R1_001.fastq.gz	NTM01286_S108_R2_001.fastq.gz	NTM01286_S91_R1_001.fastq.gz	NTM01286_S91_R2_001.fastq.gz
NTM01288	NTM01288_S89_R1_001.fastq.gz	NTM01288_S89_R2_001.fastq.gz	NTM01288_S72_R1_001.fastq.gz	NTM01288_S72_R2_001.fastq.gz
NTM01298	NTM01298_S111_R1_001.fastq.gz	NTM01298_S111_R2_001.fastq.gz	NTM01298_S94_R1_001.fastq.gz	NTM01298_S94_R2_001.fastq.gz
NTM01323	NTM01323_S113_R1_001.fastq.gz	NTM01323_S113_R2_001.fastq.gz	NTM01323_S96_R1_001.fastq.gz	NTM01323_S96_R2_001.fastq.gz
NTM01343	NTM01343_S107_R1_001.fastq.gz	NTM01343_S107_R2_001.fastq.gz	NTM01343_S90_R1_001.fastq.gz	NTM01343_S90_R2_001.fastq.gz
NTM01391	NTM01391_S42_R1_001.fastq.gz	NTM01391_S42_R2_001.fastq.gz	NTM01391_S25_R1_001.fastq.gz	NTM01391_S25_R2_001.fastq.gz
NTM01422	NTM01422_S62_R1_001.fastq.gz	NTM01422_S62_R2_001.fastq.gz	NTM01422_S45_R1_001.fastq.gz	NTM01422_S45_R2_001.fastq.gz
NTM01428	NTM01428_S91_R1_001.fastq.gz	NTM01428_S91_R2_001.fastq.gz	NTM01428_S74_R1_001.fastq.gz	NTM01428_S74_R2_001.fastq.gz
NTM01451	NTM01451_S98_R1_001.fastq.gz	NTM01451_S98_R2_001.fastq.gz	NTM01451_S81_R1_001.fastq.gz	NTM01451_S81_R2_001.fastq.gz
NTM01460	NTM01460_S45_R1_001.fastq.gz	NTM01460_S45_R2_001.fastq.gz	NTM01460_S28_R1_001.fastq.gz	NTM01460_S28_R2_001.fastq.gz
NTM01464	NTM01464_S109_R1_001.fastq.gz	NTM01464_S109_R2_001.fastq.gz	NTM01464_S92_R1_001.fastq.gz	NTM01464_S92_R2_001.fastq.gz
NTM01480	NTM01480_S93_R1_001.fastq.gz	NTM01480_S93_R2_001.fastq.gz	NTM01480_S76_R1_001.fastq.gz	NTM01480_S76_R2_001.fastq.gz
